month,day,hour,GHI,solar_zenith_angle,clearsky_GHI,temperature,relative_humidity
1,8,17,12,71.52,268,28.0,75.55
1,8,18,8,78.43,150,27.700000000000003,78.51
1,8,18,4,85.28,48,27.4,79.98
1,9,6,0,99.7,0,25.0,94.65
1,9,6,0,92.79,0,25.200000000000003,93.62
1,9,7,8,85.67,43,25.4,92.73
1,9,7,25,78.82000000000001,144,25.700000000000003,91.1
1,9,8,50,71.92,262,26.1,86.8
1,9,8,81,65.03,384,26.5,84.78
1,9,9,198,58.19,503,26.9,81.61
1,9,9,130,51.44,614,27.200000000000003,80.2
1,9,10,306,44.82,715,27.5,78.34
1,9,10,478,38.43,802,27.8,76.98
1,9,11,875,32.39,875,28.1,74.62
1,9,11,681,26.97,932,28.3,73.76
1,9,12,969,22.62,969,28.5,72.18
1,9,12,989,20.04,989,28.700000000000003,71.35000000000001
1,9,13,989,19.94,989,28.8,70.7
1,9,13,971,22.36,971,28.700000000000003,71.04
1,9,14,934,26.61,934,28.6,71.71000000000001
1,9,14,879,31.97,879,28.5,72.13
1,9,15,808,37.97,808,28.3,74.33
1,9,15,722,44.34,722,28.200000000000003,74.76
1,9,16,491,50.94,622,28.0,78.16
1,9,16,440,57.69,511,27.9,78.61
1,9,17,393,64.53,393,27.700000000000003,79.97
1,9,17,208,71.42,271,27.5,80.91
1,9,18,115,78.32000000000001,153,27.3,82.82000000000001
1,9,18,50,85.19,50,27.200000000000003,83.31
1,10,6,0,99.81,0,25.3,93.76
1,10,6,0,92.89,0,25.3,93.76
1,10,7,13,85.77,41,25.200000000000003,95.82
1,10,7,21,78.91,140,25.200000000000003,95.82
1,10,8,67,72.0,258,25.3,96.04
1,10,8,49,65.1,379,25.4,95.47
1,10,9,120,58.25,499,25.4,95.21
1,10,9,146,51.49,611,25.6,94.09
1,10,10,283,44.86,712,25.700000000000003,91.29
1,10,10,485,38.45,801,25.8,90.75
1,10,11,277,32.39,875,25.9,87.92
1,10,11,313,26.94,931,26.0,87.4
1,10,12,221,22.54,970,26.1,86.06
1,10,12,359,19.91,990,26.200000000000003,85.55
1,10,13,295,19.78,992,26.3,84.75
1,10,13,243,22.18,974,26.3,84.75
1,10,14,314,26.44,936,26.3,84.69
1,10,14,211,31.81,882,26.200000000000003,85.11
1,10,15,49,37.82,810,26.1,86.03
1,10,15,68,44.2,723,25.9,87.05
1,10,16,175,50.81,624,25.700000000000003,88.89
1,10,16,46,57.57,513,25.5,89.94
1,10,17,111,64.41,396,25.3,92.25
1,10,17,144,71.31,274,25.200000000000003,92.89
1,10,18,77,78.22,155,25.0,93.82
1,10,18,26,85.10000000000001,51,25.0,93.82
1,11,6,0,99.92,0,24.3,89.71000000000001
1,11,6,0,92.99,0,24.4,89.26
1,11,7,6,85.86,42,24.5,92.16
1,11,7,13,79.0,143,24.6,91.7
1,11,8,11,72.08,261,24.8,94.86
1,11,8,17,65.17,383,24.9,94.39
1,11,9,59,58.32,501,25.0,96.89
1,11,9,125,51.54,613,25.200000000000003,95.75
1,11,10,216,44.9,715,25.3,95.03
1,11,10,191,38.47,804,25.4,94.47
1,11,11,246,32.39,877,25.6,91.23
1,11,11,363,26.9,934,25.8,90.16
1,11,12,369,22.46,974,26.0,86.31
1,11,12,386,19.78,994,26.1,85.81
1,11,13,255,19.61,996,26.200000000000003,83.61
1,11,13,300,22.0,978,26.3,83.12
1,11,14,260,26.26,942,26.4,82.05
1,11,14,345,31.64,886,26.4,82.05
1,11,15,171,37.66,815,26.4,82.23
1,11,15,217,44.06,729,26.3,82.63
1,11,16,282,50.68,629,26.200000000000003,83.99
1,11,16,373,57.45,519,26.0,84.98
1,11,17,157,64.3,401,25.8,87.31
1,11,17,212,71.2,279,25.5,88.96000000000001
1,11,18,159,78.13,159,25.3,91.12
1,11,18,54,85.01,54,25.1,92.21
1,12,6,0,100.03,0,23.9,96.6
1,12,6,0,93.1,0,24.1,95.45
1,12,7,14,85.95,43,24.200000000000003,94.9
1,12,7,50,79.09,145,24.6,92.66
1,12,8,186,72.16,264,24.9,89.05
1,12,8,291,65.24,387,25.3,86.96000000000001
1,12,9,306,58.370000000000005,506,25.8,82.82000000000001
1,12,9,493,51.59,618,26.200000000000003,80.89
1,12,10,720,44.93,720,26.700000000000003,78.28
1,12,10,677,38.48,809,27.1,76.39
1,12,11,683,32.38,883,27.4,75.09
1,12,11,600,26.86,940,27.700000000000003,73.79
1,12,12,682,22.37,977,28.0,72.44
1,12,12,649,19.65,998,28.200000000000003,71.60000000000001
1,12,13,661,19.44,999,28.4,70.95
1,12,13,981,21.82,981,28.4,70.88
1,12,14,945,26.08,945,28.5,70.78
1,12,14,890,31.48,890,28.5,70.71000000000001
1,12,15,805,37.51,805,28.5,71.2
1,12,15,718,43.92,718,28.3,72.03
1,12,16,622,50.55,622,28.1,73.8
1,12,16,511,57.33,511,27.9,74.66
1,12,17,395,64.19,395,27.700000000000003,77.35000000000001
1,12,17,274,71.10000000000001,274,27.3,79.17
1,12,18,156,78.03,156,27.0,83.15
1,12,18,52,84.92,52,26.700000000000003,84.62
1,13,6,0,100.14,0,25.0,97.1
1,13,6,0,93.19,0,25.200000000000003,96.05
1,13,7,37,86.04,37,25.3,95.54
1,13,7,134,79.17,134,25.6,93.95
1,13,8,251,72.23,251,25.9,90.66
1,13,8,305,65.31,372,26.200000000000003,89.08
1,13,9,490,58.43,490,26.5,85.81
1,13,9,602,51.63,602,26.700000000000003,84.81
1,13,10,704,44.96,704,26.9,83.52
1,13,10,793,38.49,793,27.200000000000003,82.07000000000001
1,13,11,869,32.36,869,27.4,80.9
1,13,11,926,26.81,926,27.6,79.88
1,13,12,968,22.28,968,27.8,78.62
1,13,12,989,19.5,989,27.9,78.09
